[I 2025-03-21 13:29:52,884] A new study created in memory with name: no-name-5e95a810-2aac-4c94-847d-af21ae1a71f3
[I 2025-03-21 13:36:08,436] Trial 23 finished with value: 0.8981538534164429 and parameters: {'n_units_l0': 82, 'dropout_l0': 0.21442890790507652, 'n_units_l1': 63, 'dropout_l1': 0.2293589426904444, 'learning_rate': 2.5415033339315544e-05}. Best is trial 15 with value: 0.9098461508750916.
[I 2025-03-21 13:36:23,553] Trial 24 finished with value: 0.8926154017448427 and parameters: {'n_units_l0': 81, 'dropout_l0': 0.2533323440979509, 'n_units_l1': 63, 'dropout_l1': 0.22947903583172674, 'learning_rate': 2.6000716279017478e-05}. Best is trial 15 with value: 0.9098461508750916.
[I 2025-03-21 13:36:41,819] Trial 25 finished with value: 0.8987692236900331 and parameters: {'n_units_l0': 75, 'dropout_l0': 0.2197737423324866, 'n_units_l1': 58, 'dropout_l1': 0.2549157446108228, 'learning_rate': 4.209872002669849e-05}. Best is trial 15 with value: 0.9098461508750916.
[I 2025-03-21 13:36:46,970] Trial 26 pruned. Trial was pruned at epoch 10.
[I 2025-03-21 13:37:01,242] Trial 27 finished with value: 0.9101538538932801 and parameters: {'n_units_l0': 77, 'dropout_l0': 0.21966786228767546, 'n_units_l1': 55, 'dropout_l1': 0.28562412504609647, 'learning_rate': 3.5588073104056316e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:37:17,132] Trial 28 finished with value: 0.8926154017448427 and parameters: {'n_units_l0': 78, 'dropout_l0': 0.26471119611190613, 'n_units_l1': 55, 'dropout_l1': 0.286243549846356, 'learning_rate': 3.2037592374615884e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:37:35,879] Trial 29 finished with value: 0.8929230928421021 and parameters: {'n_units_l0': 80, 'dropout_l0': 0.23656386865366955, 'n_units_l1': 45, 'dropout_l1': 0.3009937649275424, 'learning_rate': 7.699211117789206e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:37:50,266] Trial 30 finished with value: 0.8953846335411072 and parameters: {'n_units_l0': 73, 'dropout_l0': 0.21166837640331923, 'n_units_l1': 48, 'dropout_l1': 0.26501536248644025, 'learning_rate': 5.3765843745520335e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:38:07,836] Trial 31 finished with value: 0.9030769228935243 and parameters: {'n_units_l0': 76, 'dropout_l0': 0.22211358926652514, 'n_units_l1': 56, 'dropout_l1': 0.256263531807358, 'learning_rate': 4.4473234507590544e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:38:22,339] Trial 32 finished with value: 0.8972307443618776 and parameters: {'n_units_l0': 77, 'dropout_l0': 0.22117632482964542, 'n_units_l1': 51, 'dropout_l1': 0.3025170431763555, 'learning_rate': 3.2924669106600786e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:38:38,330] Trial 33 finished with value: 0.9021538615226746 and parameters: {'n_units_l0': 71, 'dropout_l0': 0.23299896548688898, 'n_units_l1': 56, 'dropout_l1': 0.28639043431820965, 'learning_rate': 5.269689490742946e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:38:52,389] Trial 34 finished with value: 0.8935384511947633 and parameters: {'n_units_l0': 71, 'dropout_l0': 0.22987016837937915, 'n_units_l1': 49, 'dropout_l1': 0.28853591221930014, 'learning_rate': 5.064415189203229e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:39:09,877] Trial 35 finished with value: 0.8904615163803101 and parameters: {'n_units_l0': 80, 'dropout_l0': 0.2505652396672505, 'n_units_l1': 55, 'dropout_l1': 0.31310223338379695, 'learning_rate': 3.620424091707717e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:39:23,712] Trial 36 finished with value: 0.8950769305229187 and parameters: {'n_units_l0': 76, 'dropout_l0': 0.2636901661806527, 'n_units_l1': 56, 'dropout_l1': 0.27691344781061256, 'learning_rate': 7.097050834362084e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:39:42,725] Trial 37 finished with value: 0.8852307558059693 and parameters: {'n_units_l0': 87, 'dropout_l0': 0.28226499029114327, 'n_units_l1': 53, 'dropout_l1': 0.33079694725057635, 'learning_rate': 4.8664840596623314e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:39:57,784] Trial 38 finished with value: 0.8926154017448427 and parameters: {'n_units_l0': 72, 'dropout_l0': 0.31575452039922614, 'n_units_l1': 59, 'dropout_l1': 0.2673568353234623, 'learning_rate': 3.8246607744280295e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:40:12,862] Trial 39 finished with value: 0.8790769457817078 and parameters: {'n_units_l0': 79, 'dropout_l0': 0.23975677714101049, 'n_units_l1': 49, 'dropout_l1': 0.2988351677574117, 'learning_rate': 9.387115619556048e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:40:28,160] Trial 40 finished with value: 0.8901538610458375 and parameters: {'n_units_l0': 73, 'dropout_l0': 0.22434554867975878, 'n_units_l1': 47, 'dropout_l1': 0.28274728934940024, 'learning_rate': 2.783155475568125e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:40:44,886] Trial 41 finished with value: 0.907692313194275 and parameters: {'n_units_l0': 74, 'dropout_l0': 0.20959080500824226, 'n_units_l1': 66, 'dropout_l1': 0.24466105497475082, 'learning_rate': 6.222560446876886e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:40:51,138] Trial 42 pruned. Trial was pruned at epoch 12.
[I 2025-03-21 13:40:56,564] Trial 43 pruned. Trial was pruned at epoch 10.
[I 2025-03-21 13:41:02,453] Trial 44 pruned. Trial was pruned at epoch 12.
[I 2025-03-21 13:41:17,024] Trial 45 finished with value: 0.9055384516716004 and parameters: {'n_units_l0': 77, 'dropout_l0': 0.2645857249844105, 'n_units_l1': 52, 'dropout_l1': 0.27273284071840553, 'learning_rate': 6.482908765349007e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:41:27,597] Trial 46 finished with value: 0.8461538434028626 and parameters: {'n_units_l0': 77, 'dropout_l0': 0.2700164287815481, 'n_units_l1': 51, 'dropout_l1': 0.2713827664505015, 'learning_rate': 8.540688722805024e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:41:42,381] Trial 47 finished with value: 0.8861538648605347 and parameters: {'n_units_l0': 81, 'dropout_l0': 0.25890247764953095, 'n_units_l1': 52, 'dropout_l1': 0.23799177117574363, 'learning_rate': 6.458390179393388e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:42:00,841] Trial 48 finished with value: 0.8975384473800659 and parameters: {'n_units_l0': 91, 'dropout_l0': 0.24656639873595507, 'n_units_l1': 49, 'dropout_l1': 0.24970552398716545, 'learning_rate': 3.4013090265848115e-05}. Best is trial 27 with value: 0.9101538538932801.
[I 2025-03-21 13:42:15,839] Trial 49 finished with value: 0.919692313671112 and parameters: {'n_units_l0': 85, 'dropout_l0': 0.2000762398476158, 'n_units_l1': 65, 'dropout_l1': 0.20827801097339319, 'learning_rate': 8.283112736649545e-05}. Best is trial 49 with value: 0.919692313671112.
[I 2025-03-21 13:42:31,736] Trial 50 finished with value: 0.9015384554862976 and parameters: {'n_units_l0': 86, 'dropout_l0': 0.2025273227050073, 'n_units_l1': 69, 'dropout_l1': 0.20750328146284602, 'learning_rate': 8.634702787197044e-05}. Best is trial 49 with value: 0.919692313671112.
[I 2025-03-21 13:42:46,683] Trial 51 finished with value: 0.9073846220970154 and parameters: {'n_units_l0': 83, 'dropout_l0': 0.2200665384288245, 'n_units_l1': 64, 'dropout_l1': 0.22298554998192743, 'learning_rate': 7.582038099106392e-05}. Best is trial 49 with value: 0.919692313671112.
[I 2025-03-21 13:43:01,875] Trial 52 finished with value: 0.8839999914169312 and parameters: {'n_units_l0': 83, 'dropout_l0': 0.20030858335338056, 'n_units_l1': 64, 'dropout_l1': 0.22376706054141876, 'learning_rate': 9.956183509869409e-05}. Best is trial 49 with value: 0.919692313671112.
[I 2025-03-21 13:43:16,807] Trial 53 finished with value: 0.9132307767868043 and parameters: {'n_units_l0': 84, 'dropout_l0': 0.21716248402369742, 'n_units_l1': 67, 'dropout_l1': 0.20604373911639398, 'learning_rate': 7.700091380473163e-05}. Best is trial 49 with value: 0.919692313671112.
[I 2025-03-21 13:43:35,159] Trial 54 finished with value: 0.9009230852127076 and parameters: {'n_units_l0': 84, 'dropout_l0': 0.2089866812420437, 'n_units_l1': 67, 'dropout_l1': 0.2053680906540654, 'learning_rate': 7.71738045972612e-05}. Best is trial 49 with value: 0.919692313671112.
[I 2025-03-21 13:43:50,915] Trial 55 finished with value: 0.9187692523002625 and parameters: {'n_units_l0': 90, 'dropout_l0': 0.21827831128219968, 'n_units_l1': 77, 'dropout_l1': 0.21286790909192818, 'learning_rate': 8.252824444410263e-05}. Best is trial 49 with value: 0.919692313671112.
[I 2025-03-21 13:44:07,485] Trial 56 finished with value: 0.9190769076347352 and parameters: {'n_units_l0': 90, 'dropout_l0': 0.21739283776911586, 'n_units_l1': 78, 'dropout_l1': 0.20986534246986302, 'learning_rate': 8.740162873931953e-05}. Best is trial 49 with value: 0.919692313671112.
[I 2025-03-21 13:44:25,910] Trial 57 finished with value: 0.9113846182823182 and parameters: {'n_units_l0': 90, 'dropout_l0': 0.21764355447437936, 'n_units_l1': 80, 'dropout_l1': 0.2110442782980724, 'learning_rate': 8.696084972377436e-05}. Best is trial 49 with value: 0.919692313671112.
[I 2025-03-21 13:44:42,683] Trial 58 finished with value: 0.9076923251152039 and parameters: {'n_units_l0': 96, 'dropout_l0': 0.21868881955928843, 'n_units_l1': 80, 'dropout_l1': 0.20940013423127604, 'learning_rate': 8.933828415090501e-05}. Best is trial 49 with value: 0.919692313671112.
[I 2025-03-21 13:45:01,305] Trial 59 finished with value: 0.8996923327445985 and parameters: {'n_units_l0': 90, 'dropout_l0': 0.2375208563561534, 'n_units_l1': 84, 'dropout_l1': 0.20150643468853044, 'learning_rate': 8.193639710380784e-05}. Best is trial 49 with value: 0.919692313671112.
[I 2025-03-21 13:45:15,129] Trial 60 finished with value: 0.8879999995231629 and parameters: {'n_units_l0': 93, 'dropout_l0': 0.3634709768167207, 'n_units_l1': 77, 'dropout_l1': 0.21190905984737946, 'learning_rate': 9.331553650740072e-05}. Best is trial 49 with value: 0.919692313671112.
