[I 2025-03-20 21:51:29,640] A new study created in memory with name: no-name-96cee79f-6e35-45db-aae4-f778d5285f6d
[I 2025-03-20 21:54:05,424] Trial 17 finished with value: 0.8643846094608306 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 26, 'dropout_l0': 0.2458255311578165, 'activation_l1': 'leaky_relu', 'n_units_l1': 14, 'dropout_l1': 0.41148094397136187, 'learning_rate': 5.764380593251321e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:54:16,147] Trial 18 finished with value: 0.8757692396640777 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 84, 'dropout_l0': 0.27990073399602855, 'activation_l1': 'leaky_relu', 'n_units_l1': 27, 'dropout_l1': 0.47876994341184254, 'learning_rate': 3.355894551652473e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:54:18,778] Trial 19 pruned. Trial was pruned at epoch 10.
[I 2025-03-20 21:54:28,774] Trial 20 finished with value: 0.8513846218585968 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 20, 'dropout_l0': 0.2321578654565592, 'activation_l1': 'leaky_relu', 'n_units_l1': 53, 'dropout_l1': 0.32626018636361204, 'learning_rate': 3.6211217936275576e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:54:38,948] Trial 21 finished with value: 0.8599615514278411 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 83, 'dropout_l0': 0.28571855424346887, 'activation_l1': 'leaky_relu', 'n_units_l1': 27, 'dropout_l1': 0.47510353010541684, 'learning_rate': 2.8898772476496184e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:54:50,490] Trial 22 finished with value: 0.8817692518234252 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 127, 'dropout_l0': 0.2767993942154877, 'activation_l1': 'leaky_relu', 'n_units_l1': 25, 'dropout_l1': 0.4702638952837726, 'learning_rate': 2.203936666952681e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:55:02,071] Trial 23 finished with value: 0.8433846294879913 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 121, 'dropout_l0': 0.20648576711586883, 'activation_l1': 'leaky_relu', 'n_units_l1': 13, 'dropout_l1': 0.49957827513732966, 'learning_rate': 1.9294790795733992e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:55:13,666] Trial 24 finished with value: 0.8675000250339509 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 52, 'dropout_l0': 0.23125911443995267, 'activation_l1': 'leaky_relu', 'n_units_l1': 25, 'dropout_l1': 0.466812304012173, 'learning_rate': 1.6688610186871154e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:55:23,835] Trial 25 finished with value: 0.8850769281387327 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 61, 'dropout_l0': 0.30761460830729415, 'activation_l1': 'leaky_relu', 'n_units_l1': 46, 'dropout_l1': 0.4285607822125592, 'learning_rate': 2.494594194423967e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:55:35,913] Trial 26 finished with value: 0.8679615259170532 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 96, 'dropout_l0': 0.31288036552754306, 'activation_l1': 'leaky_relu', 'n_units_l1': 19, 'dropout_l1': 0.4211964344783597, 'learning_rate': 2.452536482077886e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:55:46,631] Trial 27 finished with value: 0.8676922857761382 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 59, 'dropout_l0': 0.34834184426503273, 'activation_l1': 'leaky_relu', 'n_units_l1': 31, 'dropout_l1': 0.44000101570538325, 'learning_rate': 2.387522289778602e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:55:58,286] Trial 28 finished with value: 0.877769237756729 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 126, 'dropout_l0': 0.2739883096194739, 'activation_l1': 'leaky_relu', 'n_units_l1': 64, 'dropout_l1': 0.39029795636258985, 'learning_rate': 3.7714450905483055e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:06,543] Trial 29 finished with value: 0.8686538636684418 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 60, 'dropout_l0': 0.3080680507390025, 'activation_l1': 'leaky_relu', 'n_units_l1': 35, 'dropout_l1': 0.4265805483031045, 'learning_rate': 4.996465442850576e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:13,621] Trial 30 finished with value: 0.8455000042915344 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 92, 'dropout_l0': 0.3315076374312204, 'activation_l1': 'leaky_relu', 'n_units_l1': 13, 'dropout_l1': 0.4488965256160569, 'learning_rate': 1.7011272355470693e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:19,991] Trial 31 finished with value: 0.8709230840206146 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 119, 'dropout_l0': 0.2713773438539063, 'activation_l1': 'leaky_relu', 'n_units_l1': 59, 'dropout_l1': 0.3923516073297451, 'learning_rate': 3.815237980618627e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:29,144] Trial 32 finished with value: 0.8439615309238433 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 124, 'dropout_l0': 0.2564573618751015, 'activation_l1': 'leaky_relu', 'n_units_l1': 71, 'dropout_l1': 0.47047033134801647, 'learning_rate': 2.8468759830288128e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:39,948] Trial 33 finished with value: 0.8799999952316284 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 95, 'dropout_l0': 0.29402830840813593, 'activation_l1': 'leaky_relu', 'n_units_l1': 102, 'dropout_l1': 0.40785415762259897, 'learning_rate': 5.561160484736481e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:47,776] Trial 34 finished with value: 0.851807701587677 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 95, 'dropout_l0': 0.29356715706929, 'activation_l1': 'leaky_relu', 'n_units_l1': 104, 'dropout_l1': 0.4783180217958021, 'learning_rate': 7.237885007121641e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:56:56,275] Trial 35 finished with value: 0.8859999895095825 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 70, 'dropout_l0': 0.32984261424759603, 'activation_l1': 'elu', 'n_units_l1': 45, 'dropout_l1': 0.40571271925262536, 'learning_rate': 5.2591830003769455e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:57:08,268] Trial 36 finished with value: 0.876846158504486 and parameters: {'activation_l0': 'elu', 'n_units_l0': 71, 'dropout_l0': 0.3627944509835915, 'activation_l1': 'elu', 'n_units_l1': 43, 'dropout_l1': 0.3327093255151824, 'learning_rate': 3.047177161769281e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:57:15,470] Trial 37 finished with value: 0.8466153860092163 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 49, 'dropout_l0': 0.3895464324815215, 'activation_l1': 'elu', 'n_units_l1': 31, 'dropout_l1': 0.43109700553306735, 'learning_rate': 5.405214924515399e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:57:23,702] Trial 38 finished with value: 0.8763846158981323 and parameters: {'activation_l0': 'elu', 'n_units_l0': 29, 'dropout_l0': 0.3321803764123986, 'activation_l1': 'elu', 'n_units_l1': 16, 'dropout_l1': 0.3654944279073338, 'learning_rate': 6.864739574092509e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:57:28,404] Trial 39 pruned. Trial was pruned at epoch 10.
[I 2025-03-20 21:57:39,610] Trial 40 finished with value: 0.8636538505554199 and parameters: {'activation_l0': 'elu', 'n_units_l0': 69, 'dropout_l0': 0.49653865588314483, 'activation_l1': 'elu', 'n_units_l1': 23, 'dropout_l1': 0.4592240105657431, 'learning_rate': 4.2236627149699774e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:57:49,267] Trial 41 finished with value: 0.8701153635978698 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 99, 'dropout_l0': 0.30334007192708323, 'activation_l1': 'elu', 'n_units_l1': 114, 'dropout_l1': 0.3762113191582675, 'learning_rate': 6.079166454974235e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:57:57,124] Trial 42 finished with value: 0.8736153602600096 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 80, 'dropout_l0': 0.32369680397432266, 'activation_l1': 'elu', 'n_units_l1': 88, 'dropout_l1': 0.40996939535696414, 'learning_rate': 7.585378834161265e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:58:08,469] Trial 43 finished with value: 0.8803461551666258 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 48, 'dropout_l0': 0.3442147916692518, 'activation_l1': 'leaky_relu', 'n_units_l1': 32, 'dropout_l1': 0.3955821253068035, 'learning_rate': 5.216392657260402e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:58:19,132] Trial 44 finished with value: 0.8828461706638335 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 43, 'dropout_l0': 0.34606938205855264, 'activation_l1': 'leaky_relu', 'n_units_l1': 32, 'dropout_l1': 0.20449131080788577, 'learning_rate': 5.033711084817885e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:58:25,323] Trial 45 finished with value: 0.8593461334705352 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 36, 'dropout_l0': 0.361885589700933, 'activation_l1': 'elu', 'n_units_l1': 10, 'dropout_l1': 0.24137938704316864, 'learning_rate': 4.601250474971123e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:58:33,990] Trial 46 finished with value: 0.851538461446762 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 61, 'dropout_l0': 0.39833304459343594, 'activation_l1': 'leaky_relu', 'n_units_l1': 38, 'dropout_l1': 0.20491359787441174, 'learning_rate': 2.7594549079853285e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:58:38,809] Trial 47 pruned. Trial was pruned at epoch 10.
[I 2025-03-20 21:58:49,541] Trial 48 finished with value: 0.8746154010295868 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 27, 'dropout_l0': 0.2201356699707265, 'activation_l1': 'elu', 'n_units_l1': 21, 'dropout_l1': 0.2266497664055286, 'learning_rate': 4.1824675216409604e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:58:54,570] Trial 49 pruned. Trial was pruned at epoch 10.
[I 2025-03-20 21:59:02,650] Trial 50 finished with value: 0.8731538593769073 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 45, 'dropout_l0': 0.2595845428309983, 'activation_l1': 'leaky_relu', 'n_units_l1': 75, 'dropout_l1': 0.44501735013753985, 'learning_rate': 6.400336898383385e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:59:14,235] Trial 51 finished with value: 0.8733461618423461 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 52, 'dropout_l0': 0.34441619920737654, 'activation_l1': 'leaky_relu', 'n_units_l1': 32, 'dropout_l1': 0.34940632776498026, 'learning_rate': 5.0999426152253125e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:59:22,816] Trial 52 finished with value: 0.8791538536548613 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 106, 'dropout_l0': 0.35746628702384264, 'activation_l1': 'leaky_relu', 'n_units_l1': 41, 'dropout_l1': 0.39966521923377646, 'learning_rate': 8.016389525011304e-05}. Best is trial 13 with value: 0.8860769271850586.
[I 2025-03-20 21:59:31,182] Trial 53 finished with value: 0.8876923263072967 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 75, 'dropout_l0': 0.3756316802323017, 'activation_l1': 'leaky_relu', 'n_units_l1': 29, 'dropout_l1': 0.3770908682462929, 'learning_rate': 4.970349099216974e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 21:59:40,654] Trial 54 finished with value: 0.8757692396640777 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 81, 'dropout_l0': 0.4194326992499297, 'activation_l1': 'leaky_relu', 'n_units_l1': 27, 'dropout_l1': 0.3687640962080649, 'learning_rate': 5.9381082600855226e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 21:59:49,792] Trial 55 finished with value: 0.8334999978542328 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 14, 'dropout_l0': 0.38857898000729874, 'activation_l1': 'leaky_relu', 'n_units_l1': 19, 'dropout_l1': 0.3532063825689492, 'learning_rate': 2.649357840464166e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 21:59:57,909] Trial 56 finished with value: 0.8591538310050963 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 77, 'dropout_l0': 0.3687407035803711, 'activation_l1': 'leaky_relu', 'n_units_l1': 37, 'dropout_l1': 0.4862560261029496, 'learning_rate': 3.301099905784104e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 22:00:09,162] Trial 57 finished with value: 0.8613077104091644 and parameters: {'activation_l0': 'elu', 'n_units_l0': 33, 'dropout_l0': 0.32869663182763104, 'activation_l1': 'leaky_relu', 'n_units_l1': 54, 'dropout_l1': 0.37920272115055936, 'learning_rate': 2.1451563696843847e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 22:00:17,287] Trial 58 finished with value: 0.8585384547710417 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 107, 'dropout_l0': 0.3812864606736027, 'activation_l1': 'leaky_relu', 'n_units_l1': 28, 'dropout_l1': 0.338884078225056, 'learning_rate': 4.710370879723992e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 22:00:21,615] Trial 59 pruned. Trial was pruned at epoch 10.
[I 2025-03-20 22:00:31,874] Trial 60 finished with value: 0.8568076729774474 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 58, 'dropout_l0': 0.3129019069812627, 'activation_l1': 'leaky_relu', 'n_units_l1': 23, 'dropout_l1': 0.46112562674577984, 'learning_rate': 1.4919574641341014e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 22:00:43,710] Trial 61 finished with value: 0.8776538372039795 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 47, 'dropout_l0': 0.34296042724117776, 'activation_l1': 'leaky_relu', 'n_units_l1': 34, 'dropout_l1': 0.4205139095195912, 'learning_rate': 4.9780075302559294e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 22:00:52,839] Trial 62 finished with value: 0.8496922850608826 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 68, 'dropout_l0': 0.2862099616806578, 'activation_l1': 'leaky_relu', 'n_units_l1': 30, 'dropout_l1': 0.4014096432339957, 'learning_rate': 5.369238790493244e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 22:01:00,590] Trial 63 finished with value: 0.8693076848983765 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 52, 'dropout_l0': 0.4047359117842372, 'activation_l1': 'leaky_relu', 'n_units_l1': 24, 'dropout_l1': 0.2560634782828277, 'learning_rate': 4.400789554438998e-05}. Best is trial 53 with value: 0.8876923263072967.
